id,RecordType.Name,RICE_Supported__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,tasks_events,CreatedYear,CreatedMonth,days,RN,f_won_before,RecordType.Name_cat,RICE_Supported__c_cat,Lead_Faculty__c_cat,Lead_School__c_cat,Industry_cat,Industry_Sub_Type__c_cat,Business_Type__c_cat
5010,Consultancy (Non-research),RIC-BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,SME (small to medium enterprise),1,0,0,2020,2,9,1,0,2,2,10,46,14,12,9
4886,Research Contract,Not supported,0012e000002ZLgJAAW,0012e000002Zt0YAAS,0,Public Administration,Public Administration,Government: Australia: Federal,1,0,0,2020,1,0,3,1,9,0,4,26,13,27,1
2389,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Manufacturing & R&D,Food & Beverage,SME (small to medium enterprise),1,0,0,2018,4,27,1,0,9,1,2,28,9,18,9
4256,Grants,Not supported,0012e000002ZmOZAA0,0012e000002ZLgBAAW,0,Services,Entertainment & Creative Industries,Not for profit,1,0,0,2019,6,54,6,1,4,0,7,22,14,15,6
1931,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Multinational / Other Large Corporate,1,0,0,2018,1,11,3,0,2,1,10,46,14,12,5
260,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Defence,Defence,Multinational / Other Large Corporate,1,1,0,2016,8,917,1,0,3,2,2,29,4,10,5
3355,Research Contract,RIC RE&D and BD&I,0012e000002ZmnzAAC,0012e000002YnERAA0,0,Services,Education,SME (small to medium enterprise),1,0,0,2018,2,0,1,0,9,1,9,7,14,12,9
3269,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Defence,Defence,Government: Australia: Federal,1,0,0,2019,3,1,164,1,9,2,2,14,4,10,1
707,Grants,RIC-RE&D,0012e000002ZGfbAAG,0012e000002Zt0jAAC,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,2,7,64,1,4,3,1,32,8,21,1
4056,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),1,1,0,2019,2,378,5,1,9,2,1,36,8,5,9
2781,Research Contract,RIC-BD&I,0012e000002Zt1RAAS,NotGiven,0,Construction & Construction Materials,Construction & Construction Materials,Not for profit,1,0,0,2019,4,157,1,0,9,2,12,46,3,8,6
1388,Research Contract,RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Community,Not for profit,1,0,0,2019,6,235,1,0,9,2,5,5,14,7,6
1002,Technology Transfer,RIC RE&D and BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Services,Education,University,1,0,0,2017,2,28,1,0,11,1,2,29,14,12,10
1284,Research Contract,RIC RE&D and BD&I,0012e000002ZLgIAAW,NotGiven,0,Services,Community,Government: Australia: Local & State,1,0,0,2017,2,16,7,1,9,1,3,46,14,7,2
3504,Research Contract,RIC-BD&I,0012e000002ZLgIAAW,NotGiven,0,Services,Community,Not for profit,1,0,1,2019,6,68,1,0,9,2,3,46,14,7,6
1755,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Government: International,1,0,0,2016,12,166,1,0,3,1,10,46,14,12,3
5252,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Services,Education,University,1,0,0,2020,5,39,1,0,11,2,1,33,14,12,10
4802,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Defence,Defence,Government: Australia: Federal,1,0,0,2019,12,58,215,1,9,2,2,14,4,10,1
3307,Technology Transfer,RIC-BD&I,0012e000002ZmnzAAC,0012e000002YnERAA0,0,Services,Financial & Insurance,Multinational / Other Large Corporate,1,1,0,2018,11,232,6,0,11,2,9,7,14,17,5
1543,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZmOZAA0,0012e000002ZLgBAAW,0,Services,Education,University,1,0,0,2016,9,138,79,1,3,1,7,22,14,12,10
4987,Consultancy (Non-research),RIC-BD&I,0012e000002ZmnxAAC,0012e000002YmMXAA0,0,Construction & Construction Materials,Construction & Construction Materials,SME (small to medium enterprise),1,0,0,2020,2,35,1,0,2,2,8,4,3,8,9
1539,Custom Education (MSPACE Included),RIC-BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,University,1,0,0,2017,8,755,1,0,3,2,10,46,14,12,10
2431,Research Contract,RIC RE&D and BD&I,0012e000002ZGfbAAG,NotGiven,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,0,2016,10,202,26,1,9,1,1,46,8,26,5
2028,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZmOZAA0,0012e000002ZLgBAAW,0,Services,Education,University,1,0,0,2016,9,145,65,1,3,1,7,22,14,12,10
4785,Custom Education (MSPACE Included),RIC-BD&I,NotGiven,NotGiven,0,Services,Business & Professional,SME (small to medium enterprise),1,0,0,2019,11,112,1,0,3,2,15,46,14,6,9
4646,Research Contract,RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Community,Not for profit,1,0,0,2018,10,28,1,0,9,1,10,46,14,7,6
3021,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Services,Financial & Insurance,Large Australian Corporate,1,0,0,2017,9,0,2,0,9,1,2,14,14,17,4
5304,Competitive Bid,RIC-BD&I,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,0,1,2020,5,4,4,1,1,2,15,46,13,27,1
3213,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,NotGiven,0,Defence,Defence,Government: Australia: Federal,1,0,0,2017,9,30,91,1,9,1,2,46,4,10,1
1415,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,1,2019,2,266,1,0,9,2,1,33,15,30,9
724,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZmOZAA0,0012e000002Z51eAAC,0,Services,Education,University,1,0,0,2017,2,372,171,1,3,1,7,19,14,12,10
1148,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2017,8,209,1,0,9,1,2,46,15,30,9
2684,Custom Education (MSPACE Included),Not supported,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Services,Community,Government: Australia: Federal,1,0,0,2019,8,0,1,0,3,0,1,33,14,7,1
1728,Grants,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt10AAC,1,Health,Health Care & Healthy Aging,Not for profit,1,0,1,2019,8,226,3,0,4,2,1,36,8,21,6
540,Grants,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,1,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,1,368,11,1,4,2,2,14,13,27,1
5280,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Services,Environmental,Government: Australia: Local & State,1,0,0,2020,5,1,8,1,9,2,15,46,14,16,2
4072,Research Contract,RIC RE&D and BD&I,0012e000002ZmnxAAC,0012e000002YmVtAAK,0,Veterinary,Veterinary,Multinational / Other Large Corporate,1,0,0,2016,7,13,1,0,9,1,8,6,19,34,5
646,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,1,0,2018,5,403,7,1,9,2,1,36,8,26,5
1962,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Government: Australia: Local & State,1,0,0,2018,5,52,12,1,3,1,10,46,14,12,2
1378,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZLgJAAW,0012e000002YoYUAA0,0,Health,Health Care & Healthy Aging,Multinational / Other Large Corporate,1,0,0,2018,5,25,1,0,3,1,4,11,8,21,5
1892,Research Contract,RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Not for profit,1,0,0,2017,8,39,1,0,9,1,10,46,14,12,6
4879,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0jAAC,0,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,1,2020,1,191,3,1,3,2,1,32,8,21,2
5186,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,NotGiven,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,0,2020,4,78,1,0,9,2,1,46,8,26,5
3839,Research Contract,RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Not for profit,1,0,0,2016,5,0,1,0,9,1,10,46,14,12,6
4813,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Services,Business & Professional,Not for profit,1,0,1,2019,12,76,1,0,9,2,2,29,14,6,6
5363,Consultancy (Non-research),RIC-BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Government: Australia: Local & State,1,1,0,2020,6,6,186,1,2,2,10,46,14,12,2
4438,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Construction & Construction Materials,Construction & Construction Materials,Multinational / Other Large Corporate,1,0,0,2018,2,77,1,0,9,1,2,28,3,8,5
5200,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Multinational / Other Large Corporate,1,0,0,2020,4,49,1,0,9,2,2,14,15,30,5
4945,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Energy & Utilities,Energy & Utilities,Large Australian Corporate,1,0,0,2020,2,28,1,0,9,2,15,46,6,13,4
4284,Research Contract,RIC RE&D and BD&I,0012e000002ZLgJAAW,0012e000002Zt0YAAS,0,Services,Financial & Insurance,Large Australian Corporate,1,0,0,2017,3,77,1,0,9,1,4,26,14,17,4
3949,Research Contract,RIC-BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Not for profit,1,0,0,2018,12,59,2,0,9,2,10,46,14,12,6
4199,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZLg7AAG,NotGiven,0,Public Administration,Public Administration,Government: Australia: Local & State,1,0,0,2017,10,24,3,1,3,1,2,46,13,27,2
3930,Research Contract,RIC-BD&I,0012e000002ZLgJAAW,0012e000002Zt0YAAS,0,Services,Community,Government: Australia: Federal,1,0,0,2018,6,541,9,1,9,2,4,26,14,7,1
881,Consultancy (Non-research),RIC-BD&I,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,Services,Entertainment & Creative Industries,Government: Australia: Local & State,1,0,0,2019,3,0,3,1,2,2,5,1,14,15,2
4805,Consultancy (Non-research),RIC-BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Not for profit,1,0,0,2019,11,4,16,1,2,2,10,46,14,12,6
3771,Research Contract,RIC RE&D and BD&I,0012e000002ZGfbAAG,NotGiven,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,0,2015,10,272,1,0,9,1,1,46,8,26,5
3969,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Government: Australia: Local & State,1,1,0,2018,9,31,100,1,2,1,10,46,14,12,2
2480,Technology Transfer,RIC RE&D and BD&I,NotGiven,NotGiven,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,0,2016,6,322,3,0,11,1,15,46,8,26,5
864,Research Contract,RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Community,Not for profit,1,0,0,2019,10,37,1,0,9,2,5,5,14,7,6
4147,Research Contract,RIC RE&D and BD&I,0012e000002ZGfbAAG,0012e000002Z6AWAA0,0,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2017,4,32,8,1,9,1,1,21,8,21,1
3828,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Community,Government: Australia: Local & State,1,0,0,2016,5,0,1,0,2,1,10,46,14,7,2
2311,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,NotGiven,0,Public Administration,Public Administration,Government: International,1,0,0,2017,2,278,1,0,9,1,2,46,13,27,3
265,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Manufacturing & R&D,Food & Beverage,Multinational / Other Large Corporate,1,0,0,2018,5,633,2,1,9,2,2,28,9,18,5
5231,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Services,Engineering and Scientific,Government: Australia: Federal,1,0,0,2020,4,36,18,1,9,2,2,14,14,14,1
5393,Competitive Bid,RIC-BD&I,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,0,1,2020,7,16,1,0,1,2,15,46,13,27,1
3516,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Health,Pharmaceuticals,Large Australian Corporate,1,0,0,2017,7,888,20,1,9,2,1,36,8,26,4
3897,Research Contract,RIC-BD&I,0012e000002ZmnxAAC,0012e000002YoY7AAK,0,Defence,Defence,Government: Australia: Federal,1,0,0,2019,2,59,158,1,9,2,8,10,4,10,1
4232,Research Contract,RIC RE&D and BD&I,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,1,0,2016,11,128,1,0,9,1,1,36,8,26,5
1576,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,University,1,0,0,2018,11,26,218,1,3,1,10,46,14,12,10
1912,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Not for profit,1,0,0,2016,12,166,9,1,3,1,10,46,14,12,6
2211,Grants,RIC RE&D and BD&I,0012e000002ZGfbAAG,NotGiven,0,Services,Community,Government: Australia: Federal,1,0,0,2018,5,0,8,1,4,1,1,46,14,7,1
92,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: International,1,1,0,2017,7,440,1,0,9,1,15,46,13,27,3
4686,Research Contract,RIC-BD&I,0012e000002ZmOZAA0,NotGiven,0,Services,Education,University,1,0,0,2019,6,0,251,1,9,2,7,46,14,12,10
2382,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2018,8,29,1,0,9,1,2,28,13,27,1
5060,Competitive Bid,RIC-BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Government: Australia: Local & State,1,0,0,2020,3,50,28,1,1,2,10,46,14,12,2
3878,Research Contract,RIC-BD&I,0012e000002ZmnxAAC,NotGiven,0,Materials: Chemicals & Industrial Metals,Materials: Chemicals & Industrial Metals,Multinational / Other Large Corporate,1,0,0,2018,9,138,1,0,9,2,8,46,10,22,5
2317,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Services,Education,University,1,0,0,2018,9,102,215,1,3,2,2,14,14,12,10
52,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002Z4IxAAK,0,Education,Education,Not for profit,0,1,0,2017,8,457,2,0,3,1,5,15,5,12,6
2304,Custom Education (MSPACE Included),Not supported,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Public Administration,Public Administration,Government: Australia: Local & State,1,0,0,2018,3,150,1,0,3,0,2,29,13,27,2
1375,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Services,Education,University,1,0,0,2017,5,3,1,0,3,1,1,33,14,12,10
2637,Co-Location,RIC-RE&D,NotGiven,NotGiven,0,Health,Biotechnology (non-Pharma),Multinational / Other Large Corporate,1,0,0,2019,3,92,2,1,0,3,15,46,8,5,5
833,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZNYOAA4,0012e000002Z4IxAAK,0,Services,Education,University,1,0,0,2019,2,20,219,1,3,2,5,15,14,12,10
1014,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Defence,Defence,Government: Australia: Federal,1,0,0,2016,1,66,7,1,9,1,2,29,4,10,1
528,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Energy & Utilities,Energy & Utilities,Government: International,1,0,0,2019,10,207,1,0,9,2,2,29,6,13,3
1102,Research Contract,RIC-BD&I,0012e000002ZmnxAAC,0012e000002YmMXAA0,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,1,0,2019,4,48,4,1,9,2,8,4,8,26,5
3410,Grants,RIC RE&D and BD&I,0012e000002ZmnzAAC,0012e000002YnERAA0,1,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,0,2016,2,251,1,0,4,1,9,7,1,2,6
1618,Research Contract,RIC-BD&I,0012e000002ZmnxAAC,0012e000002Zt1PAAS,0,Public Administration,Public Administration,Government: Australia: Local & State,1,0,0,2019,7,195,5,1,9,2,8,39,13,27,2
4353,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002ZGfbAAG,NotGiven,0,Health,Health Care & Healthy Aging,Not for profit,1,0,0,2016,1,195,1,0,2,1,1,46,8,21,6
157,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Multinational / Other Large Corporate,1,0,0,2019,4,92,1,0,9,2,15,46,15,30,5
5000,Technology Transfer,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2020,2,148,1,0,11,2,2,14,15,30,9
4216,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Agriculture & Horticulture,Agriculture & Horticulture,Government: Australia: Local & State,1,0,0,2018,5,32,1,0,9,1,2,14,1,2,2
429,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZmOZAA0,0012e000002Z51eAAC,0,Services,Education,University,1,0,0,2016,10,1,115,1,3,1,7,19,14,12,10
5299,Competitive Bid,RIC-BD&I,NotGiven,NotGiven,0,Manufacturing & R&D,Food & Beverage,RDC (Rural Research and Development Corporations),1,0,1,2020,5,29,3,0,1,2,15,46,9,18,8
2144,Technology Transfer,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Services,Education,SME (small to medium enterprise),1,0,1,2018,10,263,1,0,11,2,2,14,14,12,9
645,Research Contract,RIC-BD&I,0012e000002ZmnzAAC,0012e000002YnERAA0,0,Agriculture & Horticulture,Agriculture & Horticulture,RDC (Rural Research and Development Corporations),1,0,0,2018,10,190,12,1,9,2,9,7,1,2,8
3677,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,NotGiven,0,Health,Health Care & Healthy Aging,Not for profit,1,0,0,2016,8,486,1,0,9,1,2,46,8,21,6
1905,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Multinational / Other Large Corporate,1,0,0,2016,10,87,1,0,3,1,10,46,14,12,5
1322,Custom Education (MSPACE Included),RIC-BD&I,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,Not for profit,1,0,0,2018,12,26,1,0,3,2,15,46,8,21,6
1357,Research Contract,Not supported,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Local & State,1,0,0,2017,12,8,21,1,9,0,15,46,13,27,2
1917,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Education,Government: Australia: Local & State,1,1,0,2016,10,58,6,1,3,1,10,46,14,12,2
2620,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2017,2,28,2,1,9,1,2,14,15,30,9
1926,Research Contract,RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Public Administration,Public Administration,Government: Australia: Local & State,1,1,0,2016,9,35,4,1,9,1,10,46,13,27,2
4142,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,0,2017,2,97,1,0,2,1,1,33,8,21,2
903,Research Contract,RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Community,Government: Australia: Local & State,1,0,0,2019,1,9,1,0,9,2,5,5,14,7,2
4876,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Health,Medical Devices,SME (small to medium enterprise),1,0,0,2020,1,76,1,0,9,2,2,28,8,23,9
2825,Research Contract,Not supported,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Health,Health Care & Healthy Aging,Not for profit,1,0,0,2018,7,304,1,0,9,0,2,14,8,21,6
2237,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2018,1,191,15,1,2,1,1,33,8,21,1
3972,Research Contract,RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Entertainment & Creative Industries,Government: Australia: Local & State,1,0,0,2018,6,124,2,0,9,1,10,46,14,15,2
2255,Research Contract,Not supported,0012e000002ZGfbAAG,0012e000002Z6AWAA0,0,Health,Health Care & Healthy Aging,Not for profit,1,0,0,2018,4,108,4,0,9,0,1,21,8,21,6
