outcome,Opptype,Supppoted,days_diff,closeDate_month,createDate_month,closeDate_year,createDate_year,act_amt,act_proj,lead_faculty,f_parent_opp,AccountType,Industry,BusinessType,Country,Internal_External,f_parent
Closed Lost,Research Contract,RIC RE&D and BD&I,111,12,8,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,69,12,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,101,5,2,2019,2019,0.0,0,Missing Faculty,0,Business Organization,Public Administration,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,14,12,12,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,19,12,11,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Health,Not for profit,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,105,12,9,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Health,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,161,5,12,2019,2018,0.0,0,Missing Faculty,0,Business Organization,Transportation & Logistics,Government: International,Australia,External,0.0
Closed Lost,Panel,RIC RE&D and BD&I,8,12,12,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Public Administration,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC RE&D and BD&I,4,10,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Transportation & Logistics,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,168,5,12,2019,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,New Zealand,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,108,12,8,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Health,Not for profit,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC RE&D and BD&I,4,11,11,2018,2018,0.0,0,0012e000002ZGfbAAG,0,Business Organization,Public Administration,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,43,12,11,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,73,12,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,6,2,2,2019,2019,0.0,0,Missing Faculty,0,Business Organization,Services,Government: International,New Zealand,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,14,12,12,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Not for profit,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,589,12,5,2017,2016,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,28,4,3,2018,2018,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Consultancy (Non-research),RIC-BD&I,0,3,3,2019,2019,0.0,0,0012e000002ZmOZAA0,0,Business Organization,Agriculture & Horticulture,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,128,7,2,2019,2019,5000.0,5000.0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC-BD&I,71,5,2,2019,2019,20000.0,20000.0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,29,4,3,2018,2018,0.0,0,0012e000002ZmOZAA0,0,Business Organization,Services,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,1085,9,9,2019,2016,4600.0,4600.0,0012e000002ZmOZAA0,0,Business Organization,Services,University,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,188,1,7,2020,2019,250000.0,250000.0,0012e000002ZmOZAA0,0,Business Organization,Services,University,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,1050,9,10,2019,2016,0.0,0,0012e000002ZmOZAA0,0,Business Organization,Services,University,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,1085,9,9,2019,2016,6000.0,6000.0,0012e000002ZmOZAA0,0,Business Organization,Services,University,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,1085,9,9,2019,2016,7500.0,7500.0,0012e000002ZmOZAA0,0,Business Organization,Services,University,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,128,7,2,2019,2019,8000.0,8000.0,0012e000002ZmOZAA0,0,Business Organization,Services,University,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,128,7,2,2019,2019,10000.0,10000.0,Missing Faculty,0,Business Organization,Services,University,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,1085,9,9,2019,2016,8600.0,8600.0,0012e000002ZmOZAA0,0,Business Organization,Services,University,Australia,External,0.0
Closed Lost,Research Contract,Not supported,31,5,4,2018,2018,0.0,0,0012e000002ZmOZAA0,0,Business Organization,Services,University,United Arab Emirates,External,0.0
Closed Lost,Research Contract,RIC-BD&I,1253,9,4,2019,2016,0.0,0,0012e000002ZmOZAA0,0,University Department,Education,Not for profit,Australia,Internal,1.0
Closed Lost,Research Contract,RIC-BD&I,1253,9,4,2019,2016,0.0,0,0012e000002ZmOZAA0,0,University Department,Education,Not for profit,Australia,Internal,1.0
Closed Lost,Research Contract,RIC-BD&I,1128,9,8,2019,2016,0.0,0,0012e000002ZmOZAA0,0,University Department,Education,Not for profit,Australia,Internal,1.0
Closed Lost,Research Contract,RIC-BD&I,1128,9,8,2019,2016,0.0,0,0012e000002ZmOZAA0,0,University Department,Education,Not for profit,Australia,Internal,1.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,175,2,9,2020,2019,20000.0,20000.0,0012e000002ZmOZAA0,0,Business Organization,Services,Not for profit,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,1161,9,7,2019,2016,0.0,0.0,0012e000002ZmOZAA0,0,Business Organization,Services,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,106,6,2,2019,2019,10000.0,10000.0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,915,11,4,2019,2017,100000.0,100000.0,0012e000002ZLg7AAG,1,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,32,8,7,2016,2016,450000.0,450000.0,0012e000002ZGfbAAG,1,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,57,6,4,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,35,10,9,2016,2016,100000.0,100000.0,Missing Faculty,0,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,32,8,7,2016,2016,450000.0,450000.0,0012e000002ZLg7AAG,1,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Won,Custom Education (MSPACE Included),RIC RE&D and BD&I,119,1,9,2018,2017,3021632.0,3021632.0,0012e000002ZLg7AAG,0,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,71,1,11,2016,2015,10000.0,10000.0,Missing Faculty,0,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,117,11,7,2016,2016,150000.0,150000.0,Missing Faculty,0,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Internship,RIC-BD&I,536,10,4,2019,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Won,Research Contract,RIC-BD&I,199,1,7,2020,2019,109199.0,110000.0,0012e000002ZLg7AAG,0,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,260,4,8,2019,2018,130000.0,130000.0,0012e000002ZLg7AAG,0,Business Organization,Transportation & Logistics,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,Not supported,215,12,5,2018,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Construction & Construction Materials,Multinational / Other Large Corporate,Australia,External,0.0
Closed Lost,Technology Transfer,RIC RE&D and BD&I,262,4,7,2017,2016,10000.0,10000.0,0012e000002ZLg7AAG,0,Business Organization,Technology: IT & Telephone Services,Multinational / Other Large Corporate,United Kingdom,External,0.0
Closed Lost,Grants,RIC RE&D and BD&I,181,3,9,2017,2016,0.0,0,0012e000002ZGfbAAG,0,Business Organization,Health,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,295,7,9,2018,2017,0.0,0,0012e000002ZGfbAAG,0,Business Organization,Health,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,168,2,8,2020,2019,0.0,0,0012e000002ZmnxAAC,0,Business Organization,Health,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,168,1,8,2018,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Defence,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Consultancy (Non-research),RIC RE&D and BD&I,75,8,6,2016,2016,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Mining & Refining,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,402,6,5,2017,2016,0.0,0,0012e000002ZmOUAA0,0,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,131,10,6,2018,2018,5000000.0,5.0E7,0012e000002ZLg7AAG,0,Business Organization,Health,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,135,6,2,2017,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Hong Kong,External,0.0
Closed Won,Research Contract,RIC RE&D and BD&I,72,5,3,2016,2016,0.0,0,Missing Faculty,0,Business Organization,Services,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,154,8,3,2017,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Agriculture & Horticulture,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,113,5,2,2016,2016,650000.0,650000.0,Missing Faculty,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,9,2,1,2016,2016,50000.0,50000.0,Missing Faculty,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,933,12,5,2018,2016,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Services,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,133,4,11,2017,2016,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Transportation & Logistics,Government: International,New Zealand,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,270,4,7,2018,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,Not supported,91,4,1,2018,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,239,4,8,2018,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Manufacturing & R&D,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,275,6,9,2017,2016,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Defence,Multinational / Other Large Corporate,Australia,External,1.0
Closed Lost,Grants,RIC RE&D and BD&I,46,8,7,2017,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Services,Multinational / Other Large Corporate,New Zealand,External,0.0
Closed Lost,Research Contract,RIC-BD&I,314,10,11,2019,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Technology: IT & Telephone Services,Multinational / Other Large Corporate,India,External,0.0
Closed Lost,Grants,RIC-BD&I,172,2,8,2019,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Agriculture & Horticulture,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,655,2,5,2020,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Technology: IT & Telephone Services,Multinational / Other Large Corporate,India,External,1.0
Closed Won,Research Contract,RIC-BD&I,784,6,4,2020,2018,0.01,0.01,0012e000002ZLg7AAG,0,Business Organization,Defence,Multinational / Other Large Corporate,Australia,External,1.0
Closed Lost,Research Contract,RIC-BD&I,317,12,2,2019,2019,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Defence,Multinational / Other Large Corporate,Australia,External,1.0
Closed Lost,Research Contract,RIC-BD&I,629,6,10,2020,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Defence,Multinational / Other Large Corporate,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,133,10,5,2018,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Construction & Construction Materials,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,119,9,5,2017,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Materials: Chemicals & Industrial Metals,Multinational / Other Large Corporate,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,46,8,7,2017,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Mining & Refining,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,51,4,2,2017,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Manufacturing & R&D,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,390,6,6,2017,2016,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Energy & Utilities,Not for profit,India,External,1.0
Closed Lost,Research Contract,RIC-BD&I,451,10,7,2019,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Manufacturing & R&D,Multinational / Other Large Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,241,12,4,2018,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Mining & Refining,SME (small to medium enterprise),Australia,External,0.0
Closed Won,Research Contract,RIC-BD&I,297,3,5,2020,2019,0.01,0.01,0012e000002ZLg7AAG,0,Business Organization,Transportation & Logistics,Multinational / Other Large Corporate,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,85,4,1,2018,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Services,Large Australian Corporate,Australia,External,0.0
Closed Lost,Grants,RIC RE&D and BD&I,251,1,5,2018,2017,200000.0,200000.0,0012e000002ZLg7AAG,1,Business Organization,Construction & Construction Materials,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,130,6,2,2017,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Mining Equipment and Technology Services,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,103,2,11,2019,2018,0.0,0,Missing Faculty,0,Business Organization,Transportation & Logistics,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Grants,RIC-BD&I,172,2,8,2019,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Technology: IT & Telephone Services,Multinational / Other Large Corporate,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,434,4,2,2018,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Defence,SME (small to medium enterprise),Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,118,8,4,2017,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Defence,Government: Australia: Federal,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,80,9,7,2018,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Construction & Construction Materials,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,40,3,1,2018,2018,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Health,Large Australian Corporate,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,31,11,10,2016,2016,0.0,0,Missing Faculty,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,75,8,6,2016,2016,0.0,0,Missing Faculty,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,2,2,2,2016,2016,0.0,0,Missing Faculty,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,114,5,2,2016,2016,0.0,0,Missing Faculty,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,113,5,2,2016,2016,0.0,0,Missing Faculty,0,,,,,,
Closed Lost,Grants,RIC RE&D and BD&I,16,9,8,2018,2018,0.0,0,0012e000002ZLg7AAG,0,,,,,,
Closed Lost,Research Contract,Not supported,9,5,5,2018,2018,0.0,0,0012e000002ZmnxAAC,0,,,,,,
Closed Lost,Research Contract,Not supported,28,3,2,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Manufacturing & R&D,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Grants,RIC-BD&I,365,9,9,2019,2018,4000000.0,8000000.0,0012e000002ZGfbAAG,0,Business Organization,Health,SME (small to medium enterprise),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,469,4,1,2018,2017,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Construction & Construction Materials,Not for profit,Australia,External,1.0
Closed Lost,Research Contract,RIC RE&D and BD&I,750,4,3,2018,2016,0.0,0,0012e000002ZLg7AAG,0,Business Organization,Manufacturing & R&D,Multinational / Other Large Corporate,Australia,External,1.0
Closed Lost,Research Contract,RIC-BD&I,101,5,2,2019,2019,0.0,0,Missing Faculty,0,Business Organization,Agriculture & Horticulture,RDC (Rural Research and Development Corporations),Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,4,12,12,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Public Administration,Not for profit,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,371,1,1,2020,2019,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,21,10,10,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Consultancy (Non-research),RIC-BD&I,106,6,2,2019,2019,10000.0,10000.0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Research Contract,RIC-BD&I,1395,9,11,2019,2015,0.0,0,0012e000002ZmOZAA0,0,Business Organization,Services,Not for profit,Singapore,External,0.0
Closed Lost,Research Contract,RIC RE&D and BD&I,34,4,3,2018,2018,0.0,0,Missing Faculty,0,Business Organization,Services,Government: Australia: Local & State,Australia,External,0.0
Closed Lost,Philanthropic,RIC-BD&I,227,2,7,2020,2019,100000.0,100000.0,0012e000002ZmOZAA0,0,Business Organization,Services,Large Australian Corporate,Australia,External,0.0
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,1029,9,11,2019,2016,0.0,0,0012e000002ZmOZAA0,0,Business Organization,Services,Not for profit,Australia,External,0.0
Closed Lost,Consultancy (Non-research),RIC-BD&I,190,6,12,2019,2018,100000.0,100000.0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC-BD&I,7,3,2,2019,2019,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,Not supported,171,10,4,2018,2018,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,398,12,11,2017,2016,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,748,12,12,2017,2015,500000.0,500000.0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,666,12,2,2017,2016,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,709,12,1,2017,2016,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Custom Education (MSPACE Included),RIC-BD&I,212,6,11,2019,2018,20000.0,20000.0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Technology Transfer,RIC-BD&I,356,2,3,2019,2018,10000.0,10000.0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC-BD&I,0,3,3,2019,2019,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC-BD&I,128,7,2,2019,2019,100000.0,100000.0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,34,12,11,2017,2017,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,497,12,8,2017,2016,500000.0,500000.0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,0,3,3,2018,2018,60000.0,60000.0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,624,12,4,2017,2016,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC RE&D and BD&I,365,12,12,2017,2016,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Philanthropic,RIC-BD&I,974,11,3,2019,2017,0.0,0,0012e000002ZmOZAA0,0,,,,,,
Closed Lost,Research Contract,RIC-BD&I,227,1,6,2020,2019,5000.0,5000.0,0012e000002ZmnzAAC,0,Business Organization,Public Administration,Government: Australia: Local & State,Australia,External,0.0
Closed Won,Research Contract,RIC-BD&I,71,8,6,2019,2019,304487.0,304487.0,0012e000002ZLgJAAW,0,Business Organization,Services,Government: Australia: Federal,Australia,External,0.0
Closed Won,Grants,RIC RE&D and BD&I,0,5,5,2018,2018,478720.8,478720.8,0012e000002ZGfbAAG,0,Business Organization,Services,Government: Australia: Federal,Australia,External,0.0
Closed Won,Research Contract,RIC-BD&I,34,2,1,2019,2019,176069.0,176069.0,0012e000002ZLgIAAW,0,Business Organization,Services,Government: International,Philippines,External,0.0
Closed Won,Research Contract,RIC RE&D and BD&I,20,6,5,2018,2018,122159.0,122159.0,0012e000002ZmnxAAC,0,Business Organization,Agriculture & Horticulture,Government: Australia: Local & State,Australia,External,0.0
