Id,StageName,RecordType.Name,RICE_Supported__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,tasks_events,CreatedYear,CreatedMonth,days,oppo_busi,fac_oppo,oppo_Industry,RN,f_won_before
0062e000002HFw9AAG,Identifying,Research Contract,Not supported,0012e000002ZGfbAAG,0012e000002Z6AWAA0,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2019,5,373,Research ContractSME (small to medium enterprise),0012e000002ZGfbAAGResearch Contract,Research ContractTechnology: IT & Telephone Services,2,0
0062e000002HFwBAAW,Developing,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0nAAC,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Multinational / Other Large Corporate,1,0,1,2018,11,723,Technology TransferMultinational / Other Large Corporate,0012e000002ZGfbAAGTechnology Transfer,Technology TransferTechnology: IT & Telephone Services,1,0
0062e000002HFwHAAW,Identifying,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0nAAC,0,Health,Medical Devices,SME (small to medium enterprise),1,0,0,2018,7,1559,Technology TransferSME (small to medium enterprise),0012e000002ZGfbAAGTechnology Transfer,Technology TransferHealth,1,0
0062e000002HFwOAAW,Proposing,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Not for profit,1,0,1,2019,10,210,Research ContractNot for profit,0012e000002ZLg7AAGResearch Contract,Research ContractTechnology: IT & Telephone Services,1,0
0062e000002HFwsAAG,Developing,Research Contract,RIC-BD&I,0012e000002ZLgJAAW,0012e000002YoYUAA0,0,Agriculture & Horticulture,Agriculture & Horticulture,Government: Australia: Federal,1,0,1,2019,6,364,Research ContractGovernment: Australia: Federal,0012e000002ZLgJAAWResearch Contract,Research ContractAgriculture & Horticulture,1,0
0062e000002HFxeAAG,Identifying,Research Contract,Not supported,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Health,Research Tools/Consumables,Multinational / Other Large Corporate,1,0,0,2017,12,1021,Research ContractMultinational / Other Large Corporate,0012e000002ZGfbAAGResearch Contract,Research ContractHealth,1,0
0062e000002HFxNAAW,Awaiting Results,Grants,Not supported,0012e000002ZGfbAAG,0012e000002Zt0mAAC,1,Health,Biotechnology (non-Pharma),PFRO (Publicly-Funded Research Organisation),1,0,0,2019,10,177,GrantsPFRO (Publicly-Funded Research Organisation),0012e000002ZGfbAAGGrants,GrantsHealth,1,0
0062e000002HFxZAAW,Identifying,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Multinational / Other Large Corporate,1,0,0,2017,3,1288,Technology TransferMultinational / Other Large Corporate,0012e000002ZGfbAAGTechnology Transfer,Technology TransferTechnology: IT & Telephone Services,1,0
0062e000002HFy1AAG,Identifying,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt21AAC,0,Health,Pharmaceuticals,Large Australian Corporate,1,0,0,2018,11,797,Technology TransferLarge Australian Corporate,0012e000002ZGfbAAGTechnology Transfer,Technology TransferHealth,2,0
0062e000002HFzEAAW,Identifying,Research Contract,Not supported,NotGiven,NotGiven,0,Services,Business & Professional,SME (small to medium enterprise),1,0,0,2018,2,853,Research ContractSME (small to medium enterprise),NotGivenResearch Contract,Research ContractServices,1,0
0062e000002HFzhAAG,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Agriculture & Horticulture,Agriculture & Horticulture,Large Australian Corporate,1,0,0,2019,8,496,Research ContractLarge Australian Corporate,0012e000002ZLg7AAGResearch Contract,Research ContractAgriculture & Horticulture,1,0
0062e000002HFzjAAG,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,0,2017,9,1210,Research ContractNot for profit,0012e000002ZLg7AAGResearch Contract,Research ContractAgriculture & Horticulture,1,0
0062e000002HFzqAAG,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Agriculture & Horticulture,Agriculture & Horticulture,Government: Australia: Local & State,1,0,0,2019,3,697,Research ContractGovernment: Australia: Local & State,0012e000002ZLg7AAGResearch Contract,Research ContractAgriculture & Horticulture,1,0
0062e000002HG0LAAW,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Manufacturing & R&D,"Automobiles, Heavy Vehicles & Industrial Machinery",SME (small to medium enterprise),1,1,0,2018,9,1197,Research ContractSME (small to medium enterprise),0012e000002ZLg7AAGResearch Contract,Research ContractManufacturing & R&D,2,0
0062e000002HG0MAAW,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Manufacturing & R&D,"Automobiles, Heavy Vehicles & Industrial Machinery",SME (small to medium enterprise),1,1,0,2018,9,833,Research ContractSME (small to medium enterprise),0012e000002ZLg7AAGResearch Contract,Research ContractManufacturing & R&D,1,0
0062e000002HG10AAG,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Large Australian Corporate,1,0,0,2019,2,681,Research ContractLarge Australian Corporate,0012e000002ZLg7AAGResearch Contract,Research ContractTechnology: IT & Telephone Services,1,0
0062e000002HG11AAG,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Large Australian Corporate,1,0,0,2019,3,652,Research ContractLarge Australian Corporate,0012e000002ZLg7AAGResearch Contract,Research ContractTechnology: IT & Telephone Services,3,0
0062e000002HG12AAG,Identifying,Research Contract,Not supported,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Large Australian Corporate,1,0,0,2019,2,681,Research ContractLarge Australian Corporate,0012e000002ZLg7AAGResearch Contract,Research ContractTechnology: IT & Telephone Services,2,0
0062e000002HG3HAAW,Identifying,Research Contract,Not supported,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Community,Not for profit,1,0,0,2019,3,231,Research ContractNot for profit,0012e000002ZNYOAA4Research Contract,Research ContractServices,1,0
0062e000002HG3IAAW,Identifying,Research Contract,Not supported,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Community,Not for profit,1,0,0,2019,3,231,Research ContractNot for profit,0012e000002ZNYOAA4Research Contract,Research ContractServices,2,0
0062e000002HG3MAAW,Develop Relationship/ Qualify opportunity,Co-Location,RIC-RE&D,NotGiven,NotGiven,0,Services,Financial & Insurance,Multinational / Other Large Corporate,1,1,1,2019,7,394,Co-LocationMultinational / Other Large Corporate,NotGivenCo-Location,Co-LocationServices,1,0
0062e000002HG3NAAW,Develop Relationship/ Qualify opportunity,Co-Location,RIC-RE&D,NotGiven,NotGiven,0,Mining & Refining,Mining & Refining,Large Australian Corporate,1,0,1,2019,10,396,Co-LocationLarge Australian Corporate,NotGivenCo-Location,Co-LocationMining & Refining,2,0
0062e000002HG3PAAW,Execution / Closing,Co-Location,RIC-RE&D,NotGiven,NotGiven,0,Services,Entertainment & Creative Industries,SME (small to medium enterprise),1,0,1,2019,10,106,Co-LocationSME (small to medium enterprise),NotGivenCo-Location,Co-LocationServices,1,0
0062e000002HG3QAAW,Execution / Closing,Co-Location,Not supported,NotGiven,NotGiven,0,Services,Business & Professional,Multinational / Other Large Corporate,1,0,1,2019,7,314,Co-LocationMultinational / Other Large Corporate,NotGivenCo-Location,Co-LocationServices,1,0
0062e000002HG3RAAW,Develop Relationship/ Qualify opportunity,Co-Location,RIC-RE&D,NotGiven,NotGiven,0,Services,Community,Not for profit,1,0,1,2019,7,314,Co-LocationNot for profit,NotGivenCo-Location,Co-LocationServices,1,0
0062e000002HG3SAAW,Negotiation / Propose,Co-Location,RIC-RE&D,NotGiven,NotGiven,0,Energy & Utilities,Energy & Utilities,Not for profit,1,0,1,2019,7,555,Co-LocationNot for profit,NotGivenCo-Location,Co-LocationEnergy & Utilities,1,0
0062e000002HG3UAAW,Developing,Parent Grant,RIC-BD&I,NotGiven,NotGiven,0,Health,Biotechnology (non-Pharma),Government: International,1,0,0,2019,6,377,Parent GrantGovernment: International,NotGivenParent Grant,Parent GrantHealth,1,0
0062e000002HG3wAAG,Developing,Research Contract,Not supported,0012e000002ZLgIAAW,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,8,287,Research ContractGovernment: Australia: Federal,0012e000002ZLgIAAWResearch Contract,Research ContractPublic Administration,3,0
0062e000002HG44AAG,Identifying,Research Contract,Not supported,0012e000002ZLgIAAW,NotGiven,0,Construction & Construction Materials,Construction & Construction Materials,Multinational / Other Large Corporate,1,0,0,2019,10,478,Research ContractMultinational / Other Large Corporate,0012e000002ZLgIAAWResearch Contract,Research ContractConstruction & Construction Materials,2,0
0062e000002HG4JAAW,Proposing,Research Contract,RIC-BD&I,0012e000002ZLgIAAW,NotGiven,0,Construction & Construction Materials,Construction & Construction Materials,SME (small to medium enterprise),1,0,1,2019,10,454,Research ContractSME (small to medium enterprise),0012e000002ZLgIAAWResearch Contract,Research ContractConstruction & Construction Materials,1,0
0062e000002HG52AAG,Identifying,Research Contract,RIC-RE&D,0012e000002ZmnxAAC,0012e000002YoY7AAK,0,Services,Financial & Insurance,Large Australian Corporate,1,1,0,2018,10,583,Research ContractLarge Australian Corporate,0012e000002ZmnxAACResearch Contract,Research ContractServices,1,0
0062e000002HG60AAG,Application,Grants,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,1,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,7,521,GrantsGovernment: Australia: Federal,0012e000002ZLg7AAGGrants,GrantsPublic Administration,2,0
0062e000002HG62AAG,Awaiting Results,Grants,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,1,Public Administration,Public Administration,Government: Australia: Federal,1,0,0,2019,4,375,GrantsGovernment: Australia: Federal,0012e000002ZLg7AAGGrants,GrantsPublic Administration,3,0
0062e000002HG67AAG,Identifying,Technology Transfer,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Education,Education,Not for profit,0,1,0,2018,9,805,Technology TransferNot for profit,0012e000002ZLg7AAGTechnology Transfer,Technology TransferEducation,2,0
0062e000002HG6BAAW,Application,Grants,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,1,Public Administration,Public Administration,Government: Australia: Federal,1,0,0,2019,3,522,GrantsGovernment: Australia: Federal,0012e000002ZLg7AAGGrants,GrantsPublic Administration,2,0
0062e000002HG6GAAW,Identifying,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Construction & Construction Materials,Construction & Construction Materials,SME (small to medium enterprise),1,0,0,2019,1,781,Research ContractSME (small to medium enterprise),NotGivenResearch Contract,Research ContractConstruction & Construction Materials,1,0
0062e000002HG6NAAW,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Energy & Utilities,Energy & Utilities,Multinational / Other Large Corporate,1,0,0,2019,2,688,Research ContractMultinational / Other Large Corporate,0012e000002ZLg7AAGResearch Contract,Research ContractEnergy & Utilities,1,0
0062e000002HG6QAAW,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),1,0,0,2018,5,963,Research ContractSME (small to medium enterprise),0012e000002ZLg7AAGResearch Contract,Research ContractHealth,1,0
0062e000002HG6xAAG,Developing,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,1,1,2018,10,617,Research ContractMultinational / Other Large Corporate,0012e000002ZGfbAAGResearch Contract,Research ContractHealth,1,0
0062e000002HG7BAAW,Developing,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Health,Biotechnology (non-Pharma),Multinational / Other Large Corporate,1,0,0,2019,6,585,Technology TransferMultinational / Other Large Corporate,0012e000002ZGfbAAGTechnology Transfer,Technology TransferHealth,1,0
0062e000002HG7HAAW,Developing,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),1,0,1,2017,8,1279,Technology TransferSME (small to medium enterprise),0012e000002ZGfbAAGTechnology Transfer,Technology TransferHealth,1,0
0062e000002HG89AAG,Identifying,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,0,2018,3,917,Research ContractMultinational / Other Large Corporate,0012e000002ZGfbAAGResearch Contract,Research ContractHealth,2,0
0062e000002HG8zAAG,Developing,Research Contract,RIC-BD&I,0012e000002ZLgJAAW,0012e000002Zt0YAAS,0,Services,Financial & Insurance,Multinational / Other Large Corporate,1,1,1,2019,9,243,Research ContractMultinational / Other Large Corporate,0012e000002ZLgJAAWResearch Contract,Research ContractServices,1,0
0062e000002HG9bAAG,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,NotGiven,0,Services,Community,Not for profit,1,0,0,2019,8,360,Research ContractNot for profit,0012e000002ZLg7AAGResearch Contract,Research ContractServices,1,0
0062e000002HG9cAAG,Identifying,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Services,Community,Not for profit,1,0,0,2019,10,298,Research ContractNot for profit,NotGivenResearch Contract,Research ContractServices,2,0
0062e000002HGA5AAO,Pre-submission,Parent Grant,RIC-RE&D,0012e000002ZGfbAAG,NotGiven,0,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,0,2018,4,309,Parent GrantGovernment: Australia: Local & State,0012e000002ZGfbAAGParent Grant,Parent GrantHealth,2,0
0062e000002HGAJAA4,Pre-submission,Parent Grant,RIC-RE&D,0012e000002ZGfbAAG,NotGiven,0,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,0,2018,4,311,Parent GrantGovernment: Australia: Local & State,0012e000002ZGfbAAGParent Grant,Parent GrantHealth,1,0
0062e000002HGbSAAW,Awaiting Results,Grants,RIC-BD&I,0012e000002ZNYOAA4,0012e000002YlvyAAC,1,Services,Education,University,1,0,1,2019,3,426,GrantsUniversity,0012e000002ZNYOAA4Grants,GrantsServices,1,0
0062e000002HGC0AAO,Proposing,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZmOZAA0,0012e000002ZLgBAAW,0,Services,Education,University,1,0,0,2019,9,483,Custom Education (MSPACE Included)University,0012e000002ZmOZAA0Custom Education (MSPACE Included),Custom Education (MSPACE Included)Services,3,0
0062e000002HGc3AAG,Proposing,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,0,2019,5,339,Custom Education (MSPACE Included)Government: Australia: Local & State,0012e000002ZNYOAA4Custom Education (MSPACE Included),Custom Education (MSPACE Included)Health,2,0
0062e000002HGcbAAG,Awaiting Results,Grants,Not supported,0012e000002ZLg7AAG,0012e000002Zt0cAAC,1,Services,Engineering and Scientific,Multinational / Other Large Corporate,1,0,0,2019,5,237,GrantsMultinational / Other Large Corporate,0012e000002ZLg7AAGGrants,GrantsServices,1,0
0062e000002HGccAAG,Awaiting Results,Grants,Not supported,0012e000002ZGfbAAG,0012e000002Zt10AAC,1,Health,Pharmaceuticals,SME (small to medium enterprise),1,0,0,2019,5,237,GrantsSME (small to medium enterprise),0012e000002ZGfbAAGGrants,GrantsHealth,1,0
0062e000002HGcdAAG,Awaiting Results,Grants,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,1,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2019,5,246,GrantsSME (small to medium enterprise),0012e000002ZLg7AAGGrants,GrantsTechnology: IT & Telephone Services,1,0
0062e000002HGcfAAG,Awaiting Results,Grants,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,1,Health,Medical Devices,SME (small to medium enterprise),1,0,0,2019,5,246,GrantsSME (small to medium enterprise),0012e000002ZLg7AAGGrants,GrantsHealth,1,0
0062e000002HGcjAAG,Awaiting Results,Grants,Not supported,0012e000002ZLg7AAG,0012e000002Zt0cAAC,1,Defence,Defence,Multinational / Other Large Corporate,1,0,0,2019,5,237,GrantsMultinational / Other Large Corporate,0012e000002ZLg7AAGGrants,GrantsDefence,1,0
0062e000002HGcTAAW,Execution / Closing,Co-Location,RIC-RE&D,NotGiven,NotGiven,0,Services,Entertainment & Creative Industries,Government: Australia: Local & State,1,0,0,2019,7,210,Co-LocationGovernment: Australia: Local & State,NotGivenCo-Location,Co-LocationServices,2,0
0062e000002HGD4AAO,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Health,Biotechnology (non-Pharma),Large Australian Corporate,1,0,1,2016,11,1507,Research ContractLarge Australian Corporate,0012e000002ZLg7AAGResearch Contract,Research ContractHealth,1,0
0062e000002HGD6AAO,Closing,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Biotechnology (non-Pharma),Large Australian Corporate,1,0,1,2018,6,798,Research ContractLarge Australian Corporate,0012e000002ZGfbAAGResearch Contract,Research ContractHealth,2,0
0062e000002HGDpAAO,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Transportation & Logistics,Transportation & Logistics,Multinational / Other Large Corporate,1,1,1,2019,7,533,Research ContractMultinational / Other Large Corporate,0012e000002ZLg7AAGResearch Contract,Research ContractTransportation & Logistics,2,0
0062e000002HGDqAAO,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Transportation & Logistics,Transportation & Logistics,Multinational / Other Large Corporate,1,1,0,2019,5,580,Research ContractMultinational / Other Large Corporate,0012e000002ZLg7AAGResearch Contract,Research ContractTransportation & Logistics,1,0
0062e000002HGdsAAG,Application,Grants,RIC-RE&D,0012e000002ZGfbAAG,NotGiven,1,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,0,2019,4,447,GrantsGovernment: Australia: Federal,0012e000002ZGfbAAGGrants,GrantsHealth,3,0
0062e000002HGDWAA4,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Public Administration,Public Administration,Government: Australia: Local & State,1,0,0,2018,8,924,Research ContractGovernment: Australia: Local & State,0012e000002ZLg7AAGResearch Contract,Research ContractPublic Administration,1,0
0062e000002HGDwAAO,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Transportation & Logistics,Transportation & Logistics,Multinational / Other Large Corporate,1,1,0,2019,7,533,Research ContractMultinational / Other Large Corporate,0012e000002ZLg7AAGResearch Contract,Research ContractTransportation & Logistics,3,0
0062e000002HGDxAAO,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,NotGiven,0,Transportation & Logistics,Transportation & Logistics,Multinational / Other Large Corporate,1,1,1,2019,7,533,Research ContractMultinational / Other Large Corporate,0012e000002ZLg7AAGResearch Contract,Research ContractTransportation & Logistics,4,0
0062e000002HGe4AAG,Awaiting Results,Grants,RIC-BD&I,0012e000002ZmnxAAC,0012e000002YmVtAAK,1,Public Administration,Public Administration,Government: Australia: Federal,1,0,0,2019,5,680,GrantsGovernment: Australia: Federal,0012e000002ZmnxAACGrants,GrantsPublic Administration,6,0
0062e000002HGe5AAG,Identifying,Grants,RIC-BD&I,0012e000002ZmnxAAC,0012e000002YmVtAAK,1,Public Administration,Public Administration,Government: Australia: Federal,1,0,1,2019,10,1069,GrantsGovernment: Australia: Federal,0012e000002ZmnxAACGrants,GrantsPublic Administration,12,0
0062e000002HGEaAAO,Identifying,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Transportation & Logistics,Transportation & Logistics,Government: Australia: Local & State,1,0,1,2019,6,569,Research ContractGovernment: Australia: Local & State,0012e000002ZLg7AAGResearch Contract,Research ContractTransportation & Logistics,1,0
0062e000002HGeCAAW,Identifying,Research Contract,RIC-BD&I,0012e000002ZmnxAAC,0012e000002YmVtAAK,0,Public Administration,Public Administration,Government: Australia: Local & State,1,1,0,2019,9,603,Research ContractGovernment: Australia: Local & State,0012e000002ZmnxAACResearch Contract,Research ContractPublic Administration,2,0
0062e000002HGedAAG,Identifying,Research Contract,RIC-BD&I,0012e000002ZmnxAAC,0012e000002Z4JyAAK,0,Materials: Chemicals & Industrial Metals,Materials: Chemicals & Industrial Metals,SME (small to medium enterprise),1,0,0,2018,8,579,Research ContractSME (small to medium enterprise),0012e000002ZmnxAACResearch Contract,Research ContractMaterials: Chemicals & Industrial Metals,1,0
0062e000002HGeEAAW,Execute Contract,Grants,RIC-BD&I,0012e000002ZmnxAAC,0012e000002YmVtAAK,1,Public Administration,Public Administration,Government: Australia: Federal,1,0,0,2018,7,763,GrantsGovernment: Australia: Federal,0012e000002ZmnxAACGrants,GrantsPublic Administration,1,0
0062e000002HGeGAAW,Identifying,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),1,0,0,2019,4,393,Research ContractSME (small to medium enterprise),NotGivenResearch Contract,Research ContractHealth,1,0
0062e000002HGeKAAW,Identifying,Grants,RIC-BD&I,0012e000002ZmnxAAC,0012e000002YmVtAAK,1,Public Administration,Public Administration,Government: Australia: Federal,1,0,0,2019,5,798,GrantsGovernment: Australia: Federal,0012e000002ZmnxAACGrants,GrantsPublic Administration,7,0
