StageName,RecordType.Name,RICE_Supported__c,Actual_Close_Date__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,RecordType.Name.1,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,CloseYear,CloseMonth,CreatedYear,CreatedMonth,time_length
Develop Relationship/ Qualify opportunity,Co-Location,RIC-RE&D,0,NotGiven,NotGiven,0,Business Organization,Services,Community,Not for profit,1,0,2020,5,2019,7,1
Negotiation / Propose,Co-Location,RIC-RE&D,0,NotGiven,NotGiven,0,Business Organization,Energy & Utilities,,Not for profit,1,0,2021,1,2019,7,2
Developing,Parent Grant,RIC-BD&I,1,NotGiven,NotGiven,0,Business Organization,Health,Biotechnology (non-Pharma),Government: International,1,0,2020,7,2019,6,1
Developing,Research Contract,Not supported,1,0012e000002ZLgIAAW,NotGiven,0,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2020,7,2019,8,1
Identifying,Research Contract,Not supported,0,0012e000002ZLgIAAW,NotGiven,0,Business Organization,Construction & Construction Materials,,Multinational / Other Large Corporate,1,0,2021,1,2019,10,2
Proposing,Research Contract,RIC-BD&I,0,0012e000002ZLgIAAW,NotGiven,0,Business Organization,Construction & Construction Materials,,SME (small to medium enterprise),1,0,2020,12,2019,10,1
Identifying,Research Contract,RIC-RE&D,0,0012e000002ZmnxAAC,0012e000002YoY7AAK,0,Business Organization,Services,Financial & Insurance,Large Australian Corporate,1,1,2020,5,2018,10,2
Application,Grants,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0cAAC,1,Business Organization,Public Administration,,Government: Australia: Federal,1,1,2020,12,2019,7,1
Awaiting Results,Grants,RIC-BD&I,1,0012e000002ZLg7AAG,0012e000002Zt0bAAC,1,Business Organization,Public Administration,,Government: Australia: Federal,1,0,2020,4,2019,4,1
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,University Department,Education,,Not for profit,0,1,2020,11,2018,9,2
Application,Grants,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0bAAC,1,Business Organization,Public Administration,,Government: Australia: Federal,1,0,2020,8,2019,3,1
Identifying,Research Contract,RIC-BD&I,0,NotGiven,NotGiven,0,Business Organization,Construction & Construction Materials,,SME (small to medium enterprise),1,0,2021,2,2019,1,2
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Business Organization,Energy & Utilities,,Multinational / Other Large Corporate,1,0,2020,12,2019,2,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Business Organization,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),1,0,2020,12,2018,5,2
Developing,Research Contract,RIC-BD&I,1,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,1,2021,3,2018,10,3
Developing,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Business Organization,Health,Biotechnology (non-Pharma),Multinational / Other Large Corporate,1,0,2021,1,2019,6,2
Developing,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Business Organization,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),1,0,2021,2,2017,8,4
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,2020,9,2018,3,2
Developing,Research Contract,RIC-BD&I,1,0012e000002ZLgJAAW,0012e000002Zt0YAAS,0,Business Organization,Services,Financial & Insurance,Multinational / Other Large Corporate,1,1,2020,6,2019,9,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,NotGiven,0,Business Organization,Services,Community,Not for profit,1,0,2020,7,2019,8,1
Identifying,Research Contract,RIC-BD&I,0,NotGiven,NotGiven,0,Business Organization,Services,Community,Not for profit,1,0,2020,7,2019,10,1
Pre-submission,Parent Grant,RIC-RE&D,1,0012e000002ZGfbAAG,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,2021,12,2018,4,3
Pre-submission,Parent Grant,RIC-RE&D,1,0012e000002ZGfbAAG,NotGiven,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,2020,12,2018,4,2
Awaiting Results,Grants,RIC-BD&I,1,0012e000002ZNYOAA4,0012e000002YlvyAAC,1,Business Organization,Services,Education,University,1,0,2020,5,2019,3,1
Proposing,Custom Education (MSPACE Included),RIC-BD&I,0,0012e000002ZmOZAA0,0012e000002ZLgBAAW,0,Business Organization,Services,Education,University,1,0,2020,12,2019,9,1
Proposing,Custom Education (MSPACE Included),RIC-BD&I,1,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,2020,5,2019,5,1
Awaiting Results,Grants,Not supported,1,0012e000002ZLg7AAG,0012e000002Zt0cAAC,1,Business Organization,Services,Engineering and Scientific,Multinational / Other Large Corporate,1,0,2020,1,2019,5,1
Awaiting Results,Grants,Not supported,1,0012e000002ZGfbAAG,0012e000002Zt10AAC,1,Business Organization,Health,Pharmaceuticals,SME (small to medium enterprise),1,0,2020,1,2019,5,1
Awaiting Results,Grants,RIC-BD&I,1,0012e000002ZLg7AAG,0012e000002Zt0cAAC,1,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),1,0,2020,1,2019,5,1
Awaiting Results,Grants,RIC-BD&I,1,0012e000002ZLg7AAG,0012e000002Zt0bAAC,1,Business Organization,Health,Medical Devices,SME (small to medium enterprise),1,0,2020,1,2019,5,1
Awaiting Results,Grants,Not supported,1,0012e000002ZLg7AAG,0012e000002Zt0cAAC,1,Business Organization,Defence,,Multinational / Other Large Corporate,1,0,2020,1,2019,5,1
Execution / Closing,Co-Location,RIC-RE&D,0,NotGiven,NotGiven,0,Business Organization,Services,Entertainment & Creative Industries,Government: Australia: Local & State,1,0,2020,1,2019,7,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0bAAC,0,Business Organization,Health,Biotechnology (non-Pharma),Large Australian Corporate,1,0,2020,12,2016,11,4
Closing,Research Contract,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Business Organization,Health,Biotechnology (non-Pharma),Large Australian Corporate,1,0,2020,8,2018,6,2
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Business Organization,Transportation & Logistics,,Multinational / Other Large Corporate,1,1,2020,12,2019,7,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Business Organization,Transportation & Logistics,,Multinational / Other Large Corporate,1,1,2020,12,2019,5,1
Application,Grants,RIC-RE&D,0,0012e000002ZGfbAAG,NotGiven,1,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2020,6,2019,4,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Business Organization,Public Administration,,Government: Australia: Local & State,1,0,2021,2,2018,8,3
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Business Organization,Transportation & Logistics,,Multinational / Other Large Corporate,1,1,2020,12,2019,7,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,NotGiven,0,Business Organization,Transportation & Logistics,,Multinational / Other Large Corporate,1,1,2020,12,2019,7,1
Awaiting Results,Grants,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002YmVtAAK,1,Business Organization,Public Administration,,Government: Australia: Federal,1,0,2021,3,2019,5,2
Identifying,Grants,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002YmVtAAK,1,Business Organization,Public Administration,,Government: Australia: Federal,1,0,2022,10,2019,10,3
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Business Organization,Transportation & Logistics,,Government: Australia: Local & State,1,0,2020,12,2019,6,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002YmVtAAK,0,Business Organization,Public Administration,,Government: Australia: Local & State,1,1,2021,4,2019,9,2
Identifying,Research Contract,RIC-BD&I,1,0012e000002ZmnxAAC,0012e000002Z4JyAAK,0,Business Organization,Materials: Chemicals & Industrial Metals,,SME (small to medium enterprise),1,0,2020,6,2018,8,2
Execute Contract,Grants,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002YmVtAAK,1,Business Organization,Public Administration,,Government: Australia: Federal,1,0,2020,8,2018,7,2
Identifying,Research Contract,RIC-BD&I,1,NotGiven,NotGiven,0,Business Organization,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),1,0,2020,5,2019,4,1
Identifying,Grants,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002YmVtAAK,1,Business Organization,Public Administration,,Government: Australia: Federal,1,0,2021,7,2019,5,2
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002Z4JyAAK,1,Business Organization,Health,Diagnostics,Large Australian Corporate,1,0,2021,2,2019,5,2
Awaiting Results,Grants,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002YmMXAA0,1,Business Organization,Agriculture & Horticulture,,SME (small to medium enterprise),1,0,2020,10,2019,10,1
Awaiting Results,Grants,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002YoY7AAK,1,Business Organization,Public Administration,,Government: Australia: Federal,1,0,2020,8,2019,10,1
Closing,Research Contract,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002Z4JyAAK,0,Business Organization,Materials: Chemicals & Industrial Metals,,Large Australian Corporate,1,0,2020,10,2019,8,1
Identifying,Grants,Not supported,1,0012e000002ZmOZAA0,0012e000002Z51eAAC,1,Business Organization,Health,Health Care & Healthy Aging,Not for profit,1,0,2020,1,2019,7,1
Identifying,Research Contract,RIC-BD&I,1,0012e000002ZmnxAAC,0012e000002YoY7AAK,0,Business Organization,Technology: IT & Telephone Services,,Multinational / Other Large Corporate,1,1,2020,5,2019,7,1
Proposing,Research Contract,RIC-BD&I,1,0012e000002ZmnxAAC,0012e000002Z4JyAAK,0,Business Organization,Services,Engineering and Scientific,Government: Australia: Federal,1,0,2020,5,2019,9,1
Proposing,Research Contract,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002Z4JyAAK,1,Business Organization,Services,Engineering and Scientific,Government: Australia: Federal,1,0,2021,2,2019,10,2
Developing,Research Contract,RIC-BD&I,1,0012e000002ZmnxAAC,NotGiven,0,Business Organization,Services,Environmental,Government: Australia: Local & State,1,0,2020,5,2019,6,1
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002Z4JyAAK,1,Business Organization,Health,Biotechnology (non-Pharma),Large Australian Corporate,1,0,2020,12,2019,10,1
Closing,Research Contract,RIC-BD&I,1,0012e000002ZmnxAAC,0012e000002Z4JyAAK,0,Business Organization,Health,Pharmaceuticals,SME (small to medium enterprise),1,0,2019,12,2019,6,0
Identifying,Research Contract,Not supported,0,0012e000002ZmnxAAC,0012e000002Z4JyAAK,1,Business Organization,Manufacturing & R&D,Food & Beverage,Multinational / Other Large Corporate,1,0,2020,12,2019,4,1
Identifying,Research Contract,RIC-BD&I,1,0012e000002ZmnxAAC,0012e000002YoY7AAK,0,Business Organization,Transportation & Logistics,,Multinational / Other Large Corporate,1,0,2020,5,2019,9,1
Triage / Develop Opportunity,Co-Location,RIC-RE&D,0,NotGiven,NotGiven,0,Business Organization,Technology: IT & Telephone Services,,Multinational / Other Large Corporate,1,1,2020,8,2019,7,1
Negotiation / Propose,Co-Location,RIC-RE&D,0,NotGiven,NotGiven,0,Business Organization,Technology: IT & Telephone Services,,Multinational / Other Large Corporate,1,1,2020,9,2019,7,1
Identifying,Research Contract,RIC-RE&D,0,NotGiven,NotGiven,0,Business Organization,Services,Entertainment & Creative Industries,SME (small to medium enterprise),1,0,2020,11,2018,6,2
Execution / Closing,Co-Location,RIC-RE&D,0,NotGiven,NotGiven,0,Business Organization,Services,Community,SME (small to medium enterprise),1,0,2020,10,2019,5,1
Identifying,Research Contract,RIC-BD&I,1,0012e000002ZmnxAAC,0012e000002YmVtAAK,0,Business Organization,Services,Engineering and Scientific,Government: Australia: Federal,1,0,2020,4,2019,9,1
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002YmVtAAK,1,Business Organization,Services,Education,University,1,0,2020,8,2019,9,1
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt0mAAC,1,Business Organization,Health,Medical Devices,SME (small to medium enterprise),1,0,2020,10,2019,1,1
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,2021,1,2019,3,2
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt10AAC,1,Business Organization,Health,Health Care & Healthy Aging,Not for profit,1,0,2020,11,2017,10,3
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002Z4JyAAK,1,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,2021,2,2019,10,2
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Business Organization,Services,Education,University,1,0,2020,11,2019,9,1
Identifying,Technology Transfer,RIC-BD&I,1,0012e000003hllpAAA,0012e000002Zt25AAC,0,University Department,Education,,Not for profit,0,1,2020,12,2019,3,1
Identifying,Technology Transfer,RIC-BD&I,1,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,University Department,Education,,Not for profit,0,1,2020,12,2018,7,2
Identifying,Research Contract,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002YoY7AAK,0,Business Organization,Manufacturing & R&D,"Hardware, Electronics and Electrical Equipment",Multinational / Other Large Corporate,1,0,2021,2,2019,7,2
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Business Organization,Services,Education,University,1,0,2020,9,2017,11,3
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Business Organization,Services,Engineering and Scientific,Not for profit,1,0,2020,10,2019,9,1
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Business Organization,Services,Engineering and Scientific,Not for profit,1,0,2020,10,2019,3,1
Identifying,Technology Transfer,RIC-BD&I,0,0012e000002ZmnxAAC,0012e000002Z4JyAAK,0,Business Organization,Health,Pharmaceuticals,SME (small to medium enterprise),1,0,2020,11,2019,9,1
Identifying,Technology Transfer,RIC-BD&I,0,0012e000003hllpAAA,0012e000002Zt25AAC,0,Business Organization,Services,Education,University,1,0,2021,1,2019,3,2
Proposing,Technology Transfer,RIC-BD&I,1,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Business Organization,Health,Diagnostics,SME (small to medium enterprise),1,0,2021,1,2019,5,2
Closing,Custom Education (MSPACE Included),RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,2020,10,2019,5,1
Proposing,Custom Education (MSPACE Included),RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Z6AWAA0,0,Business Organization,Health,Health Care & Healthy Aging,Not for profit,1,0,2020,8,2019,7,1
Closing,Custom Education (MSPACE Included),RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Z6AWAA0,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,1,0,2020,12,2019,8,1
Identifying,Custom Education (MSPACE Included),RIC-BD&I,0,0012e000002ZGfbAAG,0012e000002Z6AWAA0,0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,2020,10,2019,7,1
