,StageName,RecordType.Name,RICE_Supported__c,Lead_Faculty__c,Lead_School__c,Parent_Opportunity__c,Industry,Industry_Sub_Type__c,Business_Type__c,Is_External__c,ParentId,tasks_events,CreatedYear,CreatedMonth,year_length,RN,f_won_before
19,0,Consultancy (Non-research),RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,0,2016,5,3,3,0
20,0,Consultancy (Non-research),RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,0,2016,5,3,2,0
21,0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,Not for profit,1,0,0,2016,5,3,1,0
22,0,Technology Transfer,RIC RE&D and BD&I,NotGiven,NotGiven,0,Mining & Refining,Mining & Refining,SME (small to medium enterprise),1,0,0,2016,4,3,1,0
23,0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Agriculture & Horticulture,Agriculture & Horticulture,PFRO (Publicly-Funded Research Organisation),1,0,0,2016,5,3,1,0
24,0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,1,0,2015,11,4,1,0
25,0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Services,Business & Professional,SME (small to medium enterprise),1,0,0,2016,5,3,1,0
26,0,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002ZmnxAAC,NotGiven,0,Manufacturing & R&D,Food & Beverage,Multinational / Other Large Corporate,1,0,0,2016,8,3,1,0
27,0,Research Contract,Not supported,0012e000002ZmnxAAC,0012e000002YmVtAAK,0,Services,Community,Not for profit,1,0,0,2019,3,0,1,0
28,0,Research Contract,Not supported,0012e000002ZLgIAAW,NotGiven,0,Services,Community,Not for profit,1,0,0,2019,3,0,1,0
29,0,Research Contract,RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Entertainment & Creative Industries,SME (small to medium enterprise),1,0,0,2019,1,0,1,0
30,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZmnzAAC,0012e000002Z3p1AAC,0,Health,Medical Devices,SME (small to medium enterprise),1,0,0,2017,11,3,2,1
31,0,Custom Education (MSPACE Included),Not supported,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,Services,Entertainment & Creative Industries,Government: International,1,0,0,2018,11,1,1,0
32,0,Custom Education (MSPACE Included),Not supported,NotGiven,NotGiven,0,Services,Education,Not for profit,1,0,0,2018,6,2,1,0
33,0,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002Z4oNAAS,0,Services,Community,Government: Australia: Local & State,1,0,0,2016,2,3,1,0
34,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Services,Engineering and Scientific,Not for profit,1,0,0,2017,9,3,2,0
35,0,Research Contract,RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Engineering and Scientific,Government: Australia: Federal,1,0,0,2017,6,2,1,0
36,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,NotGiven,NotGiven,0,Services,Education,University,1,0,0,2018,6,0,1,0
37,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZNYOAA4,NotGiven,0,Services,Education,University,1,0,0,2017,8,3,1,0
38,0,Research Contract,RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,Manufacturing & R&D,Consumer Goods,SME (small to medium enterprise),1,0,0,2017,8,2,1,0
39,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZLgJAAW,NotGiven,0,Services,Business & Professional,Multinational / Other Large Corporate,1,0,0,2017,9,3,1,0
40,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Education,Education,Not for profit,0,1,0,2016,6,3,1,0
41,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZNYOAA4,NotGiven,0,Services,Education,PFRO (Publicly-Funded Research Organisation),1,0,0,2017,6,3,1,0
42,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Education,Education,Not for profit,0,1,0,2017,5,2,2,0
43,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZmOZAA0,0012e000002Z51eAAC,0,Services,Education,University,1,0,0,2016,9,3,92,1
44,0,Research Contract,RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002Z4IxAAK,0,Education,Education,Not for profit,0,1,0,2016,6,3,1,0
45,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt1FAAS,0,Services,Education,University,1,0,0,2016,7,4,56,1
46,0,Custom Education (MSPACE Included),Not supported,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,Education,Education,Not for profit,0,1,0,2018,1,1,3,0
47,0,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Services,Business & Professional,SME (small to medium enterprise),1,0,0,2018,6,1,1,0
48,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,Education,Education,Not for profit,0,1,0,2017,4,2,5,0
49,0,Research Contract,RIC-BD&I,0012e000002ZLgIAAW,NotGiven,0,Construction & Construction Materials,Construction & Construction Materials,Large Australian Corporate,1,0,0,2018,7,1,1,0
50,0,Custom Education (MSPACE Included),Not supported,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,Education,Education,Not for profit,0,1,0,2018,1,1,6,0
51,0,Research Contract,RIC RE&D and BD&I,0012e000002ZmnxAAC,NotGiven,0,Energy & Utilities,Energy & Utilities,Government: Australia: Local & State,1,1,0,2015,12,4,1,0
52,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002Z4IxAAK,0,Education,Education,Not for profit,0,1,0,2017,8,2,2,0
53,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,Education,Education,Not for profit,0,1,0,2016,2,3,2,0
54,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002YlvyAAC,0,Education,Education,Not for profit,0,1,0,2017,10,2,1,0
55,0,Internship,RIC RE&D and BD&I,0012e000002ZNYOAA4,NotGiven,0,Education,Education,Not for profit,0,1,0,2016,6,3,1,0
56,0,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002ZNYOAA4,NotGiven,0,Education,Education,Not for profit,0,1,0,2017,9,2,1,0
57,0,Research Contract,RIC RE&D and BD&I,0012e000002ZNYOAA4,NotGiven,0,Education,Education,Not for profit,0,1,0,2016,6,3,2,0
58,0,Consultancy (Non-research),RIC RE&D and BD&I,0012e000002ZNYOAA4,NotGiven,0,Education,Education,Not for profit,0,1,0,2016,6,3,3,0
59,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZNYOAA4,NotGiven,0,Education,Education,Not for profit,0,1,0,2016,6,3,4,0
60,0,Sponsorship,Not supported,NotGiven,NotGiven,0,Services,Education,University,1,0,0,2018,8,1,1,0
61,0,Research Contract,RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Services,Community,SME (small to medium enterprise),1,0,0,2017,4,2,1,0
62,0,Research Contract,Not supported,0012e000002ZNYOAA4,0012e000002Z4IxAAK,0,Services,Education,University,1,0,0,2018,7,1,1,0
63,0,Research Contract,Not supported,NotGiven,NotGiven,0,Services,Education,University,1,0,0,2018,7,1,1,0
64,0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Services,Education,Not for profit,1,0,0,2017,7,2,1,0
65,0,Grants,RIC RE&D and BD&I,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,Services,Education,Not for profit,1,0,0,2018,8,1,1,0
66,0,Research Contract,Not supported,NotGiven,NotGiven,0,Energy & Utilities,Energy & Utilities,Not for profit,1,0,0,2018,3,1,1,0
67,0,Research Contract,Not supported,NotGiven,NotGiven,0,Services,Education,University,1,0,0,2018,7,1,1,0
68,0,Research Contract,Not supported,NotGiven,NotGiven,0,Services,Financial & Insurance,Multinational / Other Large Corporate,1,0,0,2018,3,1,1,0
69,0,Research Contract,RIC-BD&I,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Multinational / Other Large Corporate,1,0,0,2019,6,0,1,0
70,0,Research Contract,RIC RE&D and BD&I,0012e000002ZNYOAA4,NotGiven,0,Services,Entertainment & Creative Industries,Government: Australia: Local & State,1,0,0,2017,12,2,1,0
71,0,Research Contract,Not supported,0012e000002ZNYOAA4,0012e000002Z3OuAAK,0,Services,Education,Not for profit,1,0,0,2018,3,1,1,0
72,0,Internship,RIC-RE&D,0012e000002ZmnxAAC,0012e000002Ym9QAAS,0,Health,Biotechnology (non-Pharma),Large Australian Corporate,1,0,0,2019,6,0,24,1
73,0,Internship,RIC-RE&D,0012e000002ZLg7AAG,NotGiven,0,Health,Biotechnology (non-Pharma),Large Australian Corporate,1,0,0,2019,1,0,23,1
74,0,Research Contract,RIC RE&D and BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,0,2018,11,1,49,1
75,0,Research Contract,RIC-RE&D,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Local & State,1,0,0,2018,8,0,29,1
76,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZLgJAAW,NotGiven,0,Transportation & Logistics,Transportation & Logistics,Government: Australia: Local & State,1,0,0,2019,4,0,12,1
77,0,Research Contract,RIC-RE&D,NotGiven,NotGiven,0,Services,Community,Government: Australia: Local & State,1,0,0,2019,7,0,4,0
78,0,Custom Education (MSPACE Included),Not supported,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: International,1,0,0,2018,11,1,3,0
79,0,Custom Education (MSPACE Included),Not supported,NotGiven,NotGiven,0,Services,Community,Government: Australia: Local & State,1,0,0,2019,1,1,2,0
80,0,Research Contract,RIC-BD&I,0012e000002ZmnxAAC,0012e000002YmVtAAK,0,Defence,Defence,Government: Australia: Federal,1,0,0,2019,10,1,207,1
81,0,Custom Education (MSPACE Included),Not supported,0012e000002Zt1RAAS,0012e000002YnrYAAS,0,Services,Entertainment & Creative Industries,SME (small to medium enterprise),1,0,0,2018,7,1,1,0
82,0,Grants,RIC-RE&D,0012e000002ZNYOAA4,0012e000002YmNRAA0,0,Defence,Defence,Government: International,1,1,0,2019,6,0,1,0
83,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002Zt1RAAS,0012e000002YnrYAAS,0,Public Administration,Public Administration,Government: Australia: Local & State,1,1,1,2019,9,1,34,1
84,1,Consultancy (Non-research),RIC-RE&D,0012e000002ZLg7AAG,0012e000002Zt0cAAC,0,Defence,Defence,Government: Australia: Federal,1,0,0,2018,11,2,4,1
85,0,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Health,Medical Devices,SME (small to medium enterprise),1,0,0,2016,9,3,1,0
86,0,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Pharmaceuticals,Multinational / Other Large Corporate,1,0,0,2018,5,1,43,1
87,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002Zt1RAAS,NotGiven,0,Services,Financial & Insurance,Government: Australia: Federal,1,0,0,2019,3,0,3,0
88,0,Research Contract,RIC-BD&I,0012e000002Zt1RAAS,NotGiven,0,Services,Financial & Insurance,Government: Australia: Federal,1,0,0,2019,4,0,4,0
89,0,Research Contract,Not supported,0012e000002Zt1RAAS,NotGiven,0,Services,Education,University,1,0,0,2018,7,1,1,0
90,0,Research Contract,RIC RE&D and BD&I,0012e000002ZmnzAAC,NotGiven,0,Manufacturing & R&D,Food & Beverage,Multinational / Other Large Corporate,1,0,0,2017,7,2,1,0
91,0,Consultancy (Non-research),Not supported,0012e000002Zt1RAAS,0012e000002YnrYAAS,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2018,7,1,2,1
92,0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: International,1,1,0,2017,7,2,1,0
93,0,Research Contract,RIC RE&D and BD&I,0012e000002ZLg7AAG,NotGiven,0,Mining Equipment and Technology Services,Mining Equipment and Technology Services,Not for profit,1,0,0,2017,7,2,1,0
94,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002Zt1RAAS,0012e000002YnrYAAS,0,Public Administration,Public Administration,Government: Australia: Federal,1,0,1,2019,10,1,1,0
95,0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,1,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Large Australian Corporate,1,0,0,2017,7,2,4,0
96,0,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Local & State,1,0,0,2019,4,0,2,0
97,0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Large Australian Corporate,1,0,0,2017,7,2,2,0
98,0,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,Not for profit,1,0,0,2018,7,0,1,0
99,0,Research Contract,RIC RE&D and BD&I,0012e000002ZLgJAAW,NotGiven,1,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Large Australian Corporate,1,0,0,2017,7,2,5,0
100,0,Research Contract,RIC-BD&I,0012e000002Zt1RAAS,0012e000002YnrYAAS,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,10,1,51,1
101,0,Research Contract,RIC RE&D and BD&I,NotGiven,NotGiven,1,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Large Australian Corporate,1,0,0,2017,7,2,3,0
102,0,Research Contract,RIC-BD&I,0012e000002Zt1RAAS,0012e000002YnrYAAS,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2019,4,0,41,1
103,0,Grants,RIC-BD&I,NotGiven,NotGiven,0,Services,Community,Not for profit,1,0,0,2019,8,0,1,0
104,0,Grants,Not supported,0012e000002Zt1RAAS,NotGiven,0,Services,Community,Government: Australia: Local & State,1,0,0,2019,6,0,1,0
105,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002Zt1RAAS,NotGiven,0,Public Administration,Public Administration,Government: Australia: Federal,1,1,0,2017,6,2,9,1
106,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002Zt1RAAS,NotGiven,0,Services,Business & Professional,Not for profit,1,0,0,2019,7,0,1,0
107,0,Custom Education (MSPACE Included),Not supported,0012e000002Zt1RAAS,0012e000002YnrYAAS,0,Public Administration,Public Administration,Government: International,1,0,0,2018,7,0,1,0
108,0,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Public Administration,Public Administration,Government: Australia: Local & State,1,0,0,2019,4,0,6,1
109,1,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Services,Financial & Insurance,SME (small to medium enterprise),1,0,0,2019,2,0,6,1
110,0,Research Contract,RIC-BD&I,0012e000002Zt1RAAS,NotGiven,0,Construction & Construction Materials,Construction & Construction Materials,Not for profit,1,0,0,2019,6,0,1,0
111,0,Custom Education (MSPACE Included),RIC-BD&I,NotGiven,NotGiven,0,Services,Community,Not for profit,1,0,0,2019,7,0,1,0
112,0,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Services,Education,University,1,0,0,2018,2,1,3,1
113,0,Grants,Not supported,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Multinational / Other Large Corporate,1,0,0,2018,7,1,1,0
114,0,Technology Transfer,RIC RE&D and BD&I,0012e000002ZGfbAAG,NotGiven,0,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),1,1,0,2018,2,1,1,0
115,0,Grants,Not supported,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2018,7,1,1,0
116,0,Grants,Not supported,NotGiven,NotGiven,0,Manufacturing & R&D,"Hardware, Electronics and Electrical Equipment",SME (small to medium enterprise),1,0,0,2018,7,1,1,0
117,0,Technology Transfer,RIC RE&D and BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Diagnostics,Multinational / Other Large Corporate,1,0,0,2018,2,1,1,0
118,0,Grants,RIC-BD&I,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2018,7,1,1,0
119,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Services,Education,Government: Australia: Local & State,1,1,0,2019,2,0,119,1
120,0,Grants,Not supported,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,SME (small to medium enterprise),1,0,0,2018,7,1,1,0
121,0,Custom Education (MSPACE Included),RIC-BD&I,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,Not for profit,1,1,0,2019,2,1,3,0
122,0,Technology Transfer,RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Services,Business & Professional,SME (small to medium enterprise),1,0,0,2016,2,3,1,0
123,0,Grants,Not supported,NotGiven,NotGiven,0,Manufacturing & R&D,"Hardware, Electronics and Electrical Equipment",Multinational / Other Large Corporate,1,0,0,2018,7,1,1,0
124,0,Custom Education (MSPACE Included),RIC-BD&I,NotGiven,NotGiven,0,Services,Education,Not for profit,1,0,0,2019,3,1,2,0
125,0,Grants,Not supported,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2018,7,1,1,0
126,0,Custom Education (MSPACE Included),Not supported,NotGiven,NotGiven,0,Health,Health Care & Healthy Aging,Government: International,1,0,0,2018,7,1,1,0
127,0,Grants,Not supported,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2018,7,1,1,0
128,0,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Health Care & Healthy Aging,SME (small to medium enterprise),1,0,0,2017,2,2,1,0
129,0,Technology Transfer,RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Education,Education,Not for profit,0,1,0,2016,5,3,2,0
130,0,Research Contract,RIC RE&D and BD&I,0012e000002ZGfbAAG,NotGiven,0,Services,Community,Not for profit,1,0,0,2017,5,2,1,0
131,0,Technology Transfer,RIC RE&D and BD&I,0012e000002Zmo0AAC,NotGiven,0,Education,Education,Not for profit,0,1,0,2015,10,4,1,0
132,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt1FAAS,0,Education,Education,Not for profit,0,1,0,2017,9,3,2,0
133,0,Grants,Not supported,0012e000002ZLg7AAG,0012e000002Z3pPAAS,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Large Australian Corporate,1,0,0,2018,7,1,1,0
134,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZGfbAAG,NotGiven,0,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,0,2018,10,0,55,1
135,0,Grants,Not supported,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2018,7,1,1,0
136,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,NotGiven,0,Health,Health Care & Healthy Aging,Government: Australia: Local & State,1,0,0,2019,4,1,1,0
137,1,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Health Care & Healthy Aging,SME (small to medium enterprise),1,0,0,2019,8,1,4,1
138,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,NotGiven,0,Services,Education,Not for profit,1,0,0,2017,8,3,1,0
139,0,Research Contract,RIC-BD&I,0012e000002ZGfbAAG,NotGiven,0,Services,Education,Multinational / Other Large Corporate,1,0,0,2017,6,2,1,0
140,0,Custom Education (MSPACE Included),RIC-BD&I,0012e000002ZGfbAAG,NotGiven,0,Education,Education,Not for profit,0,1,0,2017,9,3,1,0
141,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Services,Education,Not for profit,1,0,0,2016,12,3,1,0
142,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Health Care & Healthy Aging,Not for profit,1,0,0,2017,6,2,1,0
143,0,Grants,Not supported,NotGiven,NotGiven,0,Manufacturing & R&D,"Hardware, Electronics and Electrical Equipment",SME (small to medium enterprise),1,0,0,2018,7,1,1,0
144,0,Grants,Not supported,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,SME (small to medium enterprise),1,0,0,2018,7,1,1,0
145,0,Research Contract,Not supported,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Pharmaceuticals,Large Australian Corporate,1,0,0,2019,3,0,26,1
146,1,Consultancy (Non-research),RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Biotechnology (non-Pharma),Not for profit,1,0,0,2019,4,1,1,0
147,0,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt10AAC,0,Health,Pharmaceuticals,SME (small to medium enterprise),1,0,0,2018,7,1,23,0
148,0,Technology Transfer,RIC-BD&I,0012e000002ZGfbAAG,0012e000002Zt1FAAS,0,Health,Pharmaceuticals,SME (small to medium enterprise),1,0,1,2019,9,1,30,1
149,0,Research Contract,Not supported,0012e000002ZGfbAAG,0012e000002Z6AWAA0,0,Services,Community,Government: Australia: Local & State,1,0,0,2019,4,3,1,0
150,0,Grants,Not supported,0012e000002ZGfbAAG,0012e000002Zt0mAAC,0,Health,Diagnostics,SME (small to medium enterprise),1,0,1,2019,5,0,2,0
151,0,Research Contract,RIC-BD&I,0012e000002ZLg7AAG,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Multinational / Other Large Corporate,1,0,0,2019,4,0,1,0
152,0,Custom Education (MSPACE Included),RIC-BD&I,NotGiven,NotGiven,0,Services,"Retail, Travel, Hospitality & Leisure",Large Australian Corporate,1,0,0,2016,9,3,1,0
153,0,Consultancy (Non-research),RIC-BD&I,0012e000002ZLgJAAW,0012e000002Z51dAAC,0,Services,Entertainment & Creative Industries,Government: Australia: Local & State,1,0,0,2019,8,0,1,0
154,0,Custom Education (MSPACE Included),RIC RE&D and BD&I,0012e000002ZLgJAAW,0012e000002YneJAAS,0,Public Administration,Public Administration,Government: Australia: Federal,1,0,0,2016,11,3,2,1
155,0,Grants,RIC-BD&I,0012e000002ZLgJAAW,NotGiven,0,Construction & Construction Materials,Construction & Construction Materials,SME (small to medium enterprise),1,0,0,2018,6,1,1,0
156,0,Research Contract,RIC RE&D and BD&I,0012e000002ZLgJAAW,NotGiven,0,Manufacturing & R&D,"Hardware, Electronics and Electrical Equipment",Multinational / Other Large Corporate,1,0,0,2017,11,2,1,0
157,0,Research Contract,RIC-BD&I,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Multinational / Other Large Corporate,1,0,0,2019,4,0,1,0
158,0,Research Contract,RIC-BD&I,0012e000002ZLgJAAW,NotGiven,0,Manufacturing & R&D,Consumer Goods,Multinational / Other Large Corporate,1,0,0,2017,2,2,1,0
159,0,Research Contract,RIC-BD&I,0012e000002ZLgJAAW,0012e000002Zt0YAAS,0,Services,Community,Government: Australia: Federal,1,0,0,2017,7,2,2,1
160,0,Research Contract,RIC RE&D and BD&I,0012e000002ZLgJAAW,0012e000002YlhnAAC,0,Services,Business & Professional,SME (small to medium enterprise),1,0,0,2016,11,3,1,0
161,0,Custom Education (MSPACE Included),RIC-BD&I,NotGiven,NotGiven,0,Technology: IT & Telephone Services,Technology: IT & Telephone Services,Government: Australia: Federal,1,0,0,2016,5,3,1,0
162,0,Internship,RIC-BD&I,0012e000002ZLgJAAW,0012e000002YlhnAAC,0,Services,Financial & Insurance,Large Australian Corporate,1,0,0,2017,11,2,1,0
